,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Klaksvík,95,FO,1604789124,81,62.23,-6.59,42.8,5.82
1,Manokwari,99,ID,1604789124,73,-0.87,134.08,82.56,3.58
2,Saint-Philippe,0,RE,1604789124,77,-21.36,55.77,71.6,5.82
3,Ancud,0,CL,1604789124,51,-41.87,-73.82,62.6,8.05
4,Kalush,0,UA,1604788888,86,49.01,24.37,44.02,2.21
5,Bluff,20,NZ,1604789125,55,-46.6,168.33,53.01,8.99
6,Adet,99,ET,1604789125,72,11.26,37.49,55.38,3.62
7,Atuona,52,PF,1604789125,74,-9.8,-139.03,77.81,12.8
8,Rikitea,40,PF,1604789125,70,-23.12,-134.97,71.64,15.77
9,New Norfolk,20,AU,1604789125,57,-42.78,147.06,59.0,8.05
10,Punta Arenas,40,CL,1604788934,58,-53.15,-70.92,57.2,32.21
11,Port Hardy,20,CA,1604788928,52,50.7,-127.42,46.4,21.92
12,Kapaa,40,US,1604789126,83,22.08,-159.32,82.4,12.75
13,Vaini,20,TO,1604789126,69,-21.2,-175.2,80.6,6.93
14,Port Elizabeth,0,ZA,1604789126,93,-33.92,25.57,62.6,8.05
15,Port Alfred,8,ZA,1604789126,87,-33.59,26.89,68.23,11.95
16,Igrim,100,RU,1604789126,98,63.19,64.42,32.32,5.57
17,Sivaki,50,RU,1604789127,90,52.63,126.75,7.88,11.16
18,Khatanga,4,RU,1604789127,86,71.97,102.5,-4.5,13.04
19,Barrow,90,US,1604789127,86,71.29,-156.79,30.2,24.16
20,Ushuaia,40,AR,1604788862,54,-54.8,-68.3,57.2,9.17
21,Beringovskiy,91,RU,1604789127,93,63.05,179.32,30.11,9.84
22,Necochea,0,AR,1604789127,86,-38.55,-58.74,57.0,5.99
23,Hermanus,11,ZA,1604789128,89,-34.42,19.23,59.0,1.01
24,Hilo,90,US,1604789128,88,19.73,-155.09,77.0,5.82
25,Hualmay,60,PE,1604789128,80,-11.1,-77.61,63.46,8.21
26,São Gonçalo dos Campos,11,BR,1604789128,92,-12.43,-38.97,73.4,7.02
27,Cape Town,75,ZA,1604789128,87,-33.93,18.42,61.0,16.11
28,Altamont,40,US,1604789128,56,42.21,-121.74,41.0,19.46
29,Iracoubo,100,GF,1604789129,80,5.48,-53.2,80.44,14.83
30,Carnarvon,90,AU,1604789129,77,-24.87,113.63,69.8,14.99
